age,workclass,fnlwgt,capital-gain
25, Private,226802,0
38, Private,89814,0
28, Local-gov,336951,0
44, Private,160323,7688
18, ?,103497,0
34, Private,198693,0
29, ?,227026,0
63, Self-emp-not-inc,104626,3103
24, Private,369667,0
55, Private,104996,0
65, Private,184454,6418
36, Federal-gov,212465,0
26, Private,82091,0
58, ?,299831,0
48, Private,279724,3103
43, Private,346189,0
20, State-gov,444554,0
43, Private,128354,0
37, Private,60548,0
40, Private,85019,0
34, Private,107914,0
34, Private,238588,0
72, ?,132015,0
25, Private,220931,0
25, Private,205947,0
45, Self-emp-not-inc,432824,7298
22, Private,236427,0
23, Private,134446,0
54, Private,99516,0
32, Self-emp-not-inc,109282,0
46, State-gov,106444,7688
56, Self-emp-not-inc,186651,0
24, Self-emp-not-inc,188274,0
23, Local-gov,258120,0
26, Private,43311,0
65, ?,191846,0
36, Local-gov,403681,0
22, Private,248446,0
17, Private,269430,0
20, Private,257509,0
65, Private,136384,0
44, Self-emp-inc,120277,0
36, Private,465326,0
29, Private,103634,0
20, State-gov,138371,0
28, Private,242832,0
39, Private,290208,0
54, Private,186272,3908
52, Private,201062,0
56, Self-emp-inc,131916,0
18, Private,54440,0
39, Private,280215,0
21, Private,214399,0
22, Private,54164,14084
38, Private,219446,0
21, Private,110677,0
63, Private,145985,0
34, Local-gov,382078,3103
42, Self-emp-inc,170721,5178
33, Private,269705,0
30, Private,101135,0
39, Private,118429,0
26, Private,31208,0
33, Private,281384,0
47, Local-gov,171807,0
41, Private,109912,0
41, Self-emp-inc,445382,15024
19, Private,105460,0
46, Private,170338,0
43, Private,102606,0
55, Private,323887,15024
46, Private,175622,0
30, Private,229636,0
21, Private,388946,0
46, Private,269034,0
17, ?,165361,0
41, Private,75012,0
69, Self-emp-inc,174379,0
50, Private,312477,0
20, Private,72055,0
45, Self-emp-inc,67001,0
23, Private,213734,0
24, Private,83141,0
44, Self-emp-inc,223881,99999
31, Self-emp-not-inc,113752,0
43, Private,170482,0
20, Federal-gov,244689,0
55, Private,160631,0
24, Federal-gov,228724,0
41, ?,38434,7688
59, Private,292946,0
49, Federal-gov,77443,0
33, Private,176410,5178
59, Federal-gov,98984,0
34, Private,198751,0
20, Private,479296,0
25, Private,235218,0
49, Private,164877,0
59, Private,272087,0
20, Private,169699,0
51, ?,189762,0
33, Private,202191,0
22, Private,212261,0
58, Self-emp-not-inc,301568,0
52, Local-gov,155233,0
36, Private,75826,0
41, Local-gov,201520,0
28, Private,154236,2597
19, Private,289227,0
18, Private,217439,0
18, Private,179020,0
28, Private,149624,0
29, Private,337266,0
20, ?,30796,0
40, Private,103541,0
26, Private,206721,0
46, Private,96773,0
23, Private,200967,0
44, Private,180019,0
43, Private,179866,0
31, Local-gov,198770,0
18, Private,219256,0
19, Private,248730,0
41, Private,110732,0
41, Private,181020,0
69, Private,183791,0
48, Federal-gov,42972,0
28, Private,134813,0
27, Self-emp-not-inc,115438,0
41, Private,239296,0
41, Private,428420,0
24, Private,247846,0
20, ?,334105,0
42, Self-emp-inc,100793,0
57, Private,244478,0
30, Private,142921,0
36, Private,182863,0
49, Private,171128,0
33, Private,145402,0
23, Private,306309,0
46, Private,83822,0
18, Private,262118,0
40, Private,155972,7688
43, Self-emp-inc,214503,0
34, Private,159303,0
47, Self-emp-not-inc,174995,0
44, Private,26669,0
33, Private,177727,0
55, Private,124771,15024
19, Private,456736,2907
28, Private,216604,0
27, Private,221561,0
50, Private,114564,0
22, Private,315476,0
40, State-gov,67874,0
25, Private,126110,0
26, Local-gov,102264,0
22, Private,537222,0
42, Private,113732,0
38, Self-emp-inc,93225,0
55, Private,43064,0
32, Private,136921,0
22, Private,388885,0
29, Private,142249,0
46, State-gov,56841,0
31, Private,156493,0
58, Self-emp-not-inc,159021,0
42, Private,190910,0
18, Private,41879,0
58, Local-gov,137249,0
54, Private,236157,0
34, Private,189759,0
26, Private,239877,0
61, Private,21175,0
48, Local-gov,67229,0
36, Private,236391,0
24, Private,325596,0
40, Private,83411,0
33, Self-emp-inc,154227,0
37, Private,248010,0
34, Private,198613,4650
56, Self-emp-inc,321529,15024
28, ?,168524,0
37, Private,203079,0
44, Private,284652,0
64, ?,201368,0
54, Private,59840,0
23, Private,52753,0
34, State-gov,513100,0
22, Private,199266,0
33, Private,196385,0
39, Private,163205,0
47, Private,411047,0
79, ?,48574,0
26, Private,209440,0
31, Private,56964,0
44, Private,299197,0
42, Self-emp-inc,240628,0
19, Private,355313,0
27, Private,132267,0
51, Local-gov,174861,0
28, Self-emp-inc,142443,0
57, Private,26716,0
45, Local-gov,185588,0
